Latitude,Longitude,Prices,Rating,Restaurant Name,Review Count,Student Location?
37.8535933792591,-122.269351556897,1,4.5,Zing Cafe,66,False
37.85385,-122.26895,1,4.0,Flacos,707,False
37.8713898,-122.2766809,1,4.0,Long Life Vegi House,381,False
37.8491128707654,-122.27161064744,1,4.0,Giin Thai Canteen,106,False
37.8502904420959,-122.271161042154,2,4.5,Lemat,120,False
37.870588,-122.279272,2,4.5,Animal Place's Vegan Republic,44,False
37.87097,-122.27493,1,3.5,Nation's Giant Hamburgers & Great Pies,318,False
37.8709110617638,-122.277227193117,1,3.5,West Coast Pizza,232,False
37.8501035356718,-122.271222397685,1,4.5,The Rec Room,42,False
37.87272,-122.27341,100,3.0,Baiano Pizzeria - Berkeley,3,False
37.8527546761124,-122.269600530863,1,3.5,Ada's Cafe,20,False
37.84949,-122.27163,2,3.5,Vault Cafe,269,False
37.8488264,-122.271513,2,3.5,"44 Restaurant, Bar & Lounge",164,False
37.8543603,-122.2703758,2,5.0,Nunu's Desserts,4,False
37.8705120074887,-122.279912039881,2,3.0,North Beach Pizza,231,False
37.8586540222168,-122.268142700195,2,4.0,Crixa Cakes,654,False
37.8511567,-122.2708771,1,4.5,Yummy Hot Dog Cart,10,False
37.8485717773438,-122.270637512207,1,3.5,Chens Garden,64,False
37.85707,-122.26739,100,3.0,Tamale Lady at Berkeley Bowl Parking Lot,3,False
37.8538113952591,-122.270626947284,1,4.5,Daniel's Caribbean Kitchen,35,False
37.8508799,-122.27114,1,4.0,Firehouse Art Collective Adeline Studios,7,False
37.8492637746169,-122.271557673812,1,1.5,Domino's Pizza,84,False
37.85778,-122.25336,1,4.0,In The Wood,39,False
37.85815,-122.25284,2,4.5,The Italian Homemade Company,107,False
37.8564099,-122.25267,2,3.5,Trattoria La Siciliana,1328,False
37.8587645191981,-122.241967633462,3,3.5,Limewood Bar & Restaurant,123,False
37.8543424357066,-122.259719409049,2,4.5,Hashtag Poki,221,False
37.852817,-122.265882,2,4.0,Los Cilantros,179,False
37.8574461,-122.2532025,2,4.0,Summer Kitchen & Bake Shop,416,False
37.858954,-122.259683,2,4.0,Royal Rangoon,532,False
37.8571053197183,-122.253486961126,2,3.5,Donato & Co,73,False
37.859286,-122.266717,2,4.0,Kirala Japanese Restaurant,1519,False
37.85666,-122.2527,1,3.5,Manpuku,1276,False
37.8583602140686,-122.253363148486,2,4.0,Elmwood Cafe,677,False
37.85641,-122.25267,2,4.0,The Burger Joint,24,False
37.8588226,-122.2449543,1,3.5,The Station,216,False
37.85875,-122.24414,2,4.5,Fournée Bakery,279,False
37.85757,-122.25337,2,3.5,La Mediterranee,1099,False
37.85798,-122.25337,2,3.5,Shen Hua,438,False
37.8587216591419,-122.266804474939,1,4.0,Sconehenge Bakery & Cafe,320,False
